COMPOUND	YEAR	STATE_FIPS_CODE	COUNTY_FIPS_CODE	EPEST_LOW_KG	EPEST_HIGH_KG
2,4-D	1995	01	001	170.2	614.6
2,4-D	1995	01	003	2060.2	2697.2
2,4-D	1995	01	005	969.5	1196.8
2,4-D	1995	01	007	199.2	213
2,4-D	1995	01	009	4352.1	4507.7
2,4-D	1995	01	011	328.9	559.4
2,4-D	1995	01	013	454.9	609.4
2,4-D	1995	01	015	2335.6	2438.2
2,4-D	1995	01	017	560.9	590.2
2,4-D	1995	01	019	2406.2	2598
2,4-D	1995	01	021	427.2	1055.7
2,4-D	1995	01	023	184.4	237.7
2,4-D	1995	01	025	111.8	161.5
2,4-D	1995	01	027	329.9	349.8
2,4-D	1995	01	029	7223.5	7255.3
2,4-D	1995	01	031	1466.3	1826.9
2,4-D	1995	01	033	489.6	680.6
2,4-D	1995	01	035	281.3	432.3
2,4-D	1995	01	037	161	180
2,4-D	1995	01	039	797.2	1091.8
2,4-D	1995	01	041	497.5	654.6
2,4-D	1995	01	043	6992.7	7104.3
2,4-D	1995	01	045	1460.4	1649.7
2,4-D	1995	01	047	369.8	919.7
2,4-D	1995	01	049	6461.3	6693.1
2,4-D	1995	01	051	224.9	413.8
2,4-D	1995	01	053	655.4	819
2,4-D	1995	01	055	2699.9	2746
2,4-D	1995	01	057	193.7	239.3
2,4-D	1995	01	059	786.9	891.9
2,4-D	1995	01	061	1582.8	2090.1
2,4-D	1995	01	063	428.6	631.8
2,4-D	1995	01	065	281	756.7
2,4-D	1995	01	067	1862	2321.6
2,4-D	1995	01	069	2445.3	3416.4
2,4-D	1995	01	071	5499.9	5812.8
2,4-D	1995	01	073	141.6	152.4
2,4-D	1995	01	075	218.4	291.9
2,4-D	1995	01	077	1117.8	1340.6
2,4-D	1995	01	079	1047.4	1262.2
2,4-D	1995	01	081	330.2	362.3
2,4-D	1995	01	083	1010.2	1458.8
2,4-D	1995	01	085	355.4	597.8
2,4-D	1995	01	087	158.7	369.3
2,4-D	1995	01	089	1165.3	1857.5
2,4-D	1995	01	091	428	720.6
2,4-D	1995	01	093	405.4	528
2,4-D	1995	01	095	4624.3	4717.8
2,4-D	1995	01	097	632	843.3
2,4-D	1995	01	099	525.6	631.1
2,4-D	1995	01	101	493.2	834.6
2,4-D	1995	01	103	824.4	1048.2
2,4-D	1995	01	105	207.9	524.3
2,4-D	1995	01	107	555.5	764.6
2,4-D	1995	01	109	1065.6	1258.8
2,4-D	1995	01	111	448.6	476.6
2,4-D	1995	01	113	215.2	357
2,4-D	1995	01	115	2226.2	2245.8
2,4-D	1995	01	117	272.2	299.6
2,4-D	1995	01	119	333.8	559.8
2,4-D	1995	01	121	756.3	930.1
2,4-D	1995	01	123	283.1	310.2
2,4-D	1995	01	125	359.4	417.5
2,4-D	1995	01	127	186.5	198.4
2,4-D	1995	01	129	480.3	655.4
2,4-D	1995	01	131	535.4	641.8
2,4-D	1995	01	133	387.6	407.2
2,4-D	1995	04	001	890.1	2628.1
2,4-D	1995	04	003	1480.4	5500.4
2,4-D	1995	04	005	299.3	2464
2,4-D	1995	04	007	51	60.4
2,4-D	1995	04	009	665	2482.2
2,4-D	1995	04	011	220.7	602.2
2,4-D	1995	04	012	413.1	1825
2,4-D	1995	04	013	15243.7	22343.9
2,4-D	1995	04	015	727.4	1451.1
2,4-D	1995	04	017	1198.3	2656.9
2,4-D	1995	04	019	801.3	2099
2,4-D	1995	04	021	7488.3	11108
2,4-D	1995	04	023	97.1	224.9
2,4-D	1995	04	025	156.8	616
2,4-D	1995	04	027	1244.4	3436.1
2,4-D	1995	05	001	6782	7995.4
2,4-D	1995	05	003	237.5	3323.6
2,4-D	1995	05	005	2110.8	2110.8
2,4-D	1995	05	007	4053.2	4118.3
2,4-D	1995	05	009	2520.7	2532.7
2,4-D	1995	05	011	168.6	370.8
2,4-D	1995	05	013	121.8	251.9
2,4-D	1995	05	015	2451.8	2472.5
2,4-D	1995	05	017	879.5	8354.6
2,4-D	1995	05	019	588.1	1646.4
2,4-D	1995	05	021	3548.6	3746.3
2,4-D	1995	05	023	1380.8	1380.8
2,4-D	1995	05	025	183.5	569.6
2,4-D	1995	05	027	354.2	866.1
2,4-D	1995	05	029	870.8	1973.5
2,4-D	1995	05	031	3234.2	3325.9
2,4-D	1995	05	033	5106.4	5336.3
2,4-D	1995	05	035	1973.4	3053.6
2,4-D	1995	05	037	5489.3	6653.7
2,4-D	1995	05	039	124	311.9
2,4-D	1995	05	041	1143.3	8334.1
2,4-D	1995	05	043	228.7	2461.9
2,4-D	1995	05	045	1675.5	2930.2
2,4-D	1995	05	047	6680.9	6742.3
2,4-D	1995	05	049	5509.1	5509.1
2,4-D	1995	05	051	309.6	637.2
2,4-D	1995	05	053	183.1	435.1
2,4-D	1995	05	055	2921.3	2996.5
2,4-D	1995	05	057	491	1189.8
2,4-D	1995	05	059	550	977.6
