COMPOUND	YEAR	STATE_FIPS_CODE	COUNTY_FIPS_CODE	EPEST_LOW_KG	EPEST_HIGH_KG
2,4-D	1993	01	001	231.7	642.1
2,4-D	1993	01	003	10464.1	11315.6
2,4-D	1993	01	005	1982.9	2015.6
2,4-D	1993	01	007	106.4	476.8
2,4-D	1993	01	009	811.8	1146.8
2,4-D	1993	01	011	339.5	678.9
2,4-D	1993	01	013	1154.4	1337.8
2,4-D	1993	01	015	438.2	772
2,4-D	1993	01	017	269.8	611.9
2,4-D	1993	01	019	491.9	1188.6
2,4-D	1993	01	021	187.8	461.1
2,4-D	1993	01	023	230.2	286.8
2,4-D	1993	01	025	144.6	181.8
2,4-D	1993	01	027	168.1	318.2
2,4-D	1993	01	029	7865.1	8009.2
2,4-D	1993	01	031	3181.6	3205.9
2,4-D	1993	01	033	1039.9	1327.8
2,4-D	1993	01	035	648.2	849.3
2,4-D	1993	01	037	81	431
2,4-D	1993	01	039	1781.2	1830.5
2,4-D	1993	01	041	1230.5	1250
2,4-D	1993	01	043	2000.6	2595.8
2,4-D	1993	01	045	2766.9	2785.9
2,4-D	1993	01	047	536.4	1293.1
2,4-D	1993	01	049	1490.3	2309.4
2,4-D	1993	01	051	283.1	484.9
2,4-D	1993	01	053	2380.8	2672.2
2,4-D	1993	01	055	580.2	805.6
2,4-D	1993	01	057	109.5	416.1
2,4-D	1993	01	059	3347.9	3550.8
2,4-D	1993	01	061	3830.1	3879.3
2,4-D	1993	01	063	328.5	750.5
2,4-D	1993	01	065	368.9	1121.5
2,4-D	1993	01	067	3762.4	3781.7
2,4-D	1993	01	069	5755.1	5852.1
2,4-D	1993	01	071	1024.3	2125.4
2,4-D	1993	01	073	72.5	209.4
2,4-D	1993	01	075	104.5	455.3
2,4-D	1993	01	077	2378.4	2964
2,4-D	1993	01	079	3951.4	4305.2
2,4-D	1993	01	081	147	383
2,4-D	1993	01	083	3403.3	3915.9
2,4-D	1993	01	085	518.1	988.9
2,4-D	1993	01	087	238	452.2
2,4-D	1993	01	089	2620.7	3738.1
2,4-D	1993	01	091	593.3	1020.7
2,4-D	1993	01	093	1089.9	1375.8
2,4-D	1993	01	095	1408.9	1893.5
2,4-D	1993	01	097	2060.9	2403.1
2,4-D	1993	01	099	678.9	1646.8
2,4-D	1993	01	101	788.6	1386.5
2,4-D	1993	01	103	1977.8	2408.2
2,4-D	1993	01	105	324.4	716.4
2,4-D	1993	01	107	205.6	1137.1
2,4-D	1993	01	109	2311.9	2342.1
2,4-D	1993	01	111	247.6	427.5
2,4-D	1993	01	113	594.2	612.5
2,4-D	1993	01	115	491.1	622.9
2,4-D	1993	01	117	148.2	292.2
2,4-D	1993	01	119	494.7	670.9
2,4-D	1993	01	121	243.6	1216.4
