COMPOUND	YEAR	STATE_FIPS_CODE	COUNTY_FIPS_CODE	EPEST_LOW_KG	EPEST_HIGH_KG
2,4-D	1998	01	001	698.5	835.1
2,4-D	1998	01	003	689.3	1806.3
2,4-D	1998	01	005	5282.2	5764.9
2,4-D	1998	01	007	168.1	168.1
2,4-D	1998	01	009	7057.9	7163.6
2,4-D	1998	01	011	410.2	518.4
2,4-D	1998	01	013	116.4	319.3
2,4-D	1998	01	015	3162.6	3260.2
2,4-D	1998	01	017	488.8	488.8
2,4-D	1998	01	019	3059.2	4022.8
2,4-D	1998	01	021	447.2	564.2
2,4-D	1998	01	023	61.9	108.8
2,4-D	1998	01	025	47.5	111.4
2,4-D	1998	01	027	373.3	374
2,4-D	1998	01	029	2095.8	2112.1
2,4-D	1998	01	031	5045.6	6151.8
2,4-D	1998	01	033	1071.5	2344
2,4-D	1998	01	035	68.1	361.9
2,4-D	1998	01	037	141.3	141.3
2,4-D	1998	01	039	5994.6	6851.4
2,4-D	1998	01	041	4528.4	4766.5
2,4-D	1998	01	043	11422.3	11574.2
2,4-D	1998	01	045	3147.2	3609.7
2,4-D	1998	01	047	1227.6	1368.8
2,4-D	1998	01	049	10643.2	10822.4
2,4-D	1998	01	051	791.9	845.4
2,4-D	1998	01	053	101.7	1741.1
2,4-D	1998	01	055	5050.9	5233.1
2,4-D	1998	01	057	165.2	294
2,4-D	1998	01	059	1406.7	1519
2,4-D	1998	01	061	6489.7	7689.8
2,4-D	1998	01	063	408.4	474.7
2,4-D	1998	01	065	549.9	665.6
2,4-D	1998	01	067	4366.5	5270.9
2,4-D	1998	01	069	4126.5	5488.7
2,4-D	1998	01	071	8172.3	8627.4
2,4-D	1998	01	073	155	155
2,4-D	1998	01	075	145.3	234.8
2,4-D	1998	01	077	1931.2	2913.4
2,4-D	1998	01	079	1590.6	3223.8
2,4-D	1998	01	081	310	462.3
2,4-D	1998	01	083	1615.7	4175.4
2,4-D	1998	01	085	922.9	1098.5
2,4-D	1998	01	087	495.2	583.6
2,4-D	1998	01	089	1196.7	2961.7
2,4-D	1998	01	091	683.7	794.6
2,4-D	1998	01	093	679.5	840.7
2,4-D	1998	01	095	8447.5	8567.8
2,4-D	1998	01	097	409.7	773.4
2,4-D	1998	01	099	164.8	1599.2
2,4-D	1998	01	101	698.4	808.2
